student_id,cohort,group,topic,misconception_pre,misconception_post,pretest_score,posttest_score,confidence_rating
1,high_school,standard,cell_structure,1,1,0.39,0.49,2
2,high_school,standard,cell_structure,1,1,0.39,0.46,3
3,high_school,standard,cell_structure,0,1,0.48,0.49,2
4,high_school,standard,cell_structure,1,1,0.41,0.4,4
5,high_school,standard,cell_structure,1,1,0.44,0.44,2
6,high_school,standard,cell_structure,1,0,0.45,0.51,4
7,high_school,standard,cell_structure,0,1,0.39,0.4,2
8,college,standard,cell_structure,0,1,0.48,0.6,3
9,high_school,standard,cell_structure,1,1,0.67,0.75,3
10,high_school,standard,cell_structure,1,1,0.41,0.55,3
11,high_school,standard,cell_structure,0,0,0.39,0.35,4
12,high_school,standard,cell_structure,1,0,0.53,0.62,3
13,high_school,standard,cell_structure,1,0,0.48,0.48,3
14,high_school,standard,cell_structure,1,0,0.47,0.54,4
15,high_school,standard,cell_structure,0,1,0.34,0.3,2
16,high_school,standard,cell_structure,1,0,0.54,0.57,5
17,high_school,standard,cell_structure,0,0,0.3,0.39,4
18,high_school,standard,cell_structure,1,1,0.36,0.31,4
19,college,standard,cell_structure,0,1,0.34,0.42,3
20,high_school,standard,cell_structure,0,1,0.61,0.67,2
21,high_school,standard,cell_structure,1,1,0.45,0.6,4
22,high_school,standard,cell_structure,1,0,0.33,0.43,2
23,college,standard,cell_structure,1,1,0.56,0.7,3
24,high_school,standard,cell_structure,0,1,0.38,0.44,3
25,high_school,standard,cell_structure,1,0,0.45,0.58,5
26,high_school,standard,cell_structure,1,1,0.54,0.54,3
27,high_school,standard,cell_structure,0,1,0.33,0.29,4
28,high_school,standard,cell_structure,1,0,0.39,0.37,5
29,high_school,standard,cell_structure,1,1,0.34,0.42,4
30,high_school,standard,cell_structure,1,0,0.57,0.72,2
31,high_school,standard,cell_structure,0,0,0.34,0.33,5
32,high_school,standard,cell_structure,1,1,0.65,0.62,2
33,high_school,standard,cell_structure,0,0,0.69,0.83,3
34,high_school,standard,cell_structure,1,1,0.46,0.42,5
35,high_school,standard,cell_structure,1,0,0.61,0.62,5
36,high_school,standard,cell_structure,1,0,0.53,0.59,4
37,high_school,standard,cell_structure,1,1,0.64,0.62,2
38,college,standard,cell_structure,1,1,0.64,0.67,3
